"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.11.2022","26,99","25,86","27,34","25,70","146,36M","3,33%"
"10.11.2022","26,12","26,08","26,89","25,61","145,47M","-2,90%"
"09.11.2022","26,90","27,15","27,95","26,64","103,30M","-1,65%"
"08.11.2022","27,35","27,06","27,53","26,75","94,75M","0,74%"
"07.11.2022","27,15","27,96","28,30","27,07","117,21M","-4,06%"
"04.11.2022","28,30","30,80","30,90","28,18","193,76M","-5,51%"
"03.11.2022","29,95","29,80","30,39","29,44","137,79M","0,30%"
"01.11.2022","29,86","30,57","30,67","29,56","114,89M","0,17%"
"31.10.2022","29,81","30,61","31,60","29,16","261,68M","-8,47%"
"28.10.2022","32,57","32,70","33,12","31,86","128,50M","-1,18%"
"27.10.2022","32,96","32,81","33,54","32,67","110,14M","0,76%"
"26.10.2022","32,71","32,60","33,53","31,90","120,94M","-2,45%"
"25.10.2022","33,53","34,04","34,50","33,21","111,56M","-2,10%"
"24.10.2022","34,25","36,50","36,82","34,23","141,30M","-9,20%"
"21.10.2022","37,72","36,45","38,39","36,39","138,72M","3,43%"
"20.10.2022","36,47","36,10","36,55","35,77","113,78M","2,96%"
"19.10.2022","35,42","34,13","35,56","34,02","113,20M","3,54%"
"18.10.2022","34,21","33,90","34,23","33,16","81,21M","2,46%"
"17.10.2022","33,39","33,24","34,15","32,84","100,62M","-0,09%"
"14.10.2022","33,42","33,97","34,14","33,30","61,93M","-1,53%"
"13.10.2022","33,94","32,50","34,49","32,41","90,84M","2,85%"
"11.10.2022","33,00","32,89","33,33","32,61","58,03M","-0,75%"
"10.10.2022","33,25","33,65","33,89","33,00","51,81M","-1,13%"
