"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.09.2022","29,80","29,22","30,49","29,00","121,10M","1,67%"
"29.09.2022","29,31","28,99","29,40","28,60","87,32M","0,14%"
"28.09.2022","29,27","29,67","29,82","28,58","104,27M","-1,35%"
"27.09.2022","29,67","29,90","30,20","29,51","70,82M","0,71%"
"26.09.2022","29,46","29,72","30,08","29,21","79,42M","-1,60%"
"23.09.2022","29,94","31,32","31,39","29,77","137,59M","-6,26%"
"22.09.2022","31,94","31,48","32,08","31,03","69,49M","2,47%"
"21.09.2022","31,17","31,35","31,47","30,89","58,25M","0,26%"
"20.09.2022","31,09","31,42","31,60","30,84","67,06M","-0,58%"
"19.09.2022","31,27","30,43","31,37","29,92","65,08M","1,59%"
"16.09.2022","30,78","30,86","30,95","30,34","106,18M","-0,90%"
"15.09.2022","31,06","30,92","31,23","30,80","45,27M","-0,19%"
"14.09.2022","31,12","30,75","31,43","30,63","48,81M","1,53%"
"13.09.2022","30,65","30,94","31,44","30,52","87,98M","-2,94%"
"12.09.2022","31,58","32,15","32,73","31,46","71,03M","-0,66%"
"09.09.2022","31,79","32,49","32,67","31,70","49,49M","-0,03%"
"08.09.2022","31,80","32,31","32,78","31,40","62,88M","-0,93%"
"06.09.2022","32,10","32,27","32,59","31,51","111,16M","-3,69%"
"05.09.2022","33,33","33,85","34,11","33,15","75,75M","-0,27%"
"02.09.2022","33,42","34,44","34,57","33,26","81,58M","-1,27%"
"01.09.2022","33,85","33,36","33,95","32,76","68,76M","1,87%"
