"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.03.2026","42,51","42,31","43,10","42,04","44,69M","-1,51%"
"09.03.2026","43,16","43,25","44,27","42,67","106,59M","2,49%"
"06.03.2026","42,11","41,90","43,12","41,42","86,94M","3,49%"
"05.03.2026","40,69","40,53","40,77","39,98","53,11M","0,47%"
"04.03.2026","40,50","40,95","41,17","39,93","50,92M","-1,10%"
"03.03.2026","40,95","41,70","42,00","40,75","93,89M","-0,44%"
"02.03.2026","41,13","41,30","41,53","40,52","83,82M","4,58%"
"27.02.2026","39,33","39,92","40,27","39,33","38,72M","-0,71%"
"26.02.2026","39,61","39,30","39,80","38,97","29,92M","0,10%"
"25.02.2026","39,57","39,94","39,97","39,03","26,01M","0,00%"
"24.02.2026","39,57","38,86","39,66","38,86","43,26M","2,54%"
"23.02.2026","38,59","37,97","39,25","37,85","55,06M","1,63%"
"20.02.2026","37,97","37,67","37,97","37,45","51,70M","0,42%"
"19.02.2026","37,81","37,50","38,24","37,44","48,36M","1,67%"
"18.02.2026","37,19","37,07","37,39","36,85","32,28M","0,81%"
"13.02.2026","36,89","37,16","37,16","36,53","27,48M","-0,59%"
"12.02.2026","37,11","38,05","38,05","36,80","39,86M","-2,55%"
"11.02.2026","38,08","37,73","38,46","37,69","55,86M","1,95%"
"10.02.2026","37,35","37,32","37,58","36,91","24,59M","0,08%"
"09.02.2026","37,32","36,66","37,45","36,55","27,09M","1,83%"
"06.02.2026","36,65","37,21","37,27","36,45","27,66M","-0,95%"
"05.02.2026","37,00","37,40","37,61","36,90","35,93M","-1,39%"
"04.02.2026","37,52","37,45","37,72","36,97","37,96M","-0,16%"
"03.02.2026","37,58","37,51","38,32","37,14","57,15M","0,91%"
"02.02.2026","37,24","36,85","37,24","36,62","38,51M","-1,38%"
"30.01.2026","37,76","37,23","37,98","37,02","45,76M","0,16%"
"29.01.2026","37,70","38,00","38,58","37,56","58,72M","0,96%"
"28.01.2026","37,34","36,55","37,44","36,50","46,05M","3,35%"
"27.01.2026","36,13","35,51","36,45","35,37","47,27M","2,18%"
"26.01.2026","35,36","35,37","35,70","35,04","39,87M","0,91%"
"23.01.2026","35,04","33,95","35,48","33,88","68,58M","4,35%"
"22.01.2026","33,58","33,38","34,13","33,26","71,52M","0,45%"
"21.01.2026","33,43","32,50","33,55","32,43","93,27M","3,53%"
"20.01.2026","32,29","32,17","32,52","31,94","26,30M","0,37%"
"19.01.2026","32,17","31,96","32,21","31,91","12,85M","0,41%"
"16.01.2026","32,04","31,95","32,20","31,88","70,88M","0,79%"
"15.01.2026","31,79","31,50","31,93","31,44","26,46M","-0,63%"
"14.01.2026","31,99","31,35","32,53","31,20","82,31M","2,73%"
"13.01.2026","31,14","30,36","31,32","30,36","54,10M","2,57%"
"12.01.2026","30,36","30,30","30,57","30,21","18,95M","0,20%"
"09.01.2026","30,30","30,17","30,74","30,14","27,96M","0,33%"
"08.01.2026","30,20","29,91","30,34","29,79","34,13M","1,24%"
"07.01.2026","29,83","29,67","29,83","29,53","28,13M","0,64%"
"06.01.2026","29,64","30,37","30,43","29,62","38,10M","-1,85%"
"05.01.2026","30,20","30,70","30,77","29,73","48,21M","-1,66%"
"02.01.2026","30,71","30,96","30,96","30,36","21,60M","-0,36%"
"30.12.2025","30,82","30,80","30,96","30,65","16,88M","0,29%"
"29.12.2025","30,73","30,56","30,81","30,52","20,59M","1,05%"
"26.12.2025","30,41","30,31","30,43","30,12","20,17M","0,33%"
"23.12.2025","30,31","30,55","30,57","30,20","35,70M","0,51%"
"22.12.2025","30,16","30,30","30,57","30,16","35,90M","0,29%"
"19.12.2025","30,07","30,13","30,29","30,03","45,68M","0,36%"
"18.12.2025","29,96","30,25","30,33","29,89","34,31M","-0,58%"
"17.12.2025","30,14","29,92","30,14","29,89","39,34M","1,11%"
"16.12.2025","29,81","30,57","30,57","29,68","52,66M","-5,97%"
"15.12.2025","31,70","31,68","31,90","31,59","31,90M","0,35%"
"12.12.2025","31,59","31,41","31,72","31,34","39,64M","1,06%"
"11.12.2025","31,26","31,88","31,90","31,25","64,93M","-2,13%"
"10.12.2025","31,94","31,88","31,99","31,54","22,12M","0,25%"
"09.12.2025","31,86","31,61","31,90","31,33","23,86M","0,63%"
"08.12.2025","31,66","31,57","31,99","31,49","30,27M","0,92%"
"05.12.2025","31,37","32,50","32,91","31,37","74,41M","-3,54%"
"04.12.2025","32,52","32,49","32,75","32,45","33,01M","0,65%"
"03.12.2025","32,31","32,15","32,50","32,15","36,63M","0,75%"
"02.12.2025","32,07","31,93","32,07","31,44","25,57M","0,69%"
"01.12.2025","31,85","31,95","32,17","31,57","29,49M","0,19%"
"28.11.2025","31,79","32,27","32,31","31,29","60,40M","-1,88%"
"27.11.2025","32,40","32,28","32,40","32,20","16,09M","0,53%"
"26.11.2025","32,23","32,38","32,41","32,10","25,04M","-0,15%"
"25.11.2025","32,28","32,35","32,44","32,09","28,43M","-0,80%"
"24.11.2025","32,54","32,56","32,75","32,36","38,67M","-0,09%"
"21.11.2025","32,57","32,56","32,74","32,36","40,82M","-0,76%"
"19.11.2025","32,82","32,80","32,98","32,54","48,72M","-0,52%"
"18.11.2025","32,99","32,70","33,17","32,67","26,52M","0,33%"
"17.11.2025","32,88","32,76","33,08","32,73","63,71M","0,55%"
"14.11.2025","32,70","32,60","33,17","32,58","27,34M","0,65%"
"13.11.2025","32,49","32,36","32,94","32,32","38,52M","0,43%"
"12.11.2025","32,35","33,26","33,26","32,08","67,65M","-2,56%"
"11.11.2025","33,20","32,54","33,44","32,45","68,22M","2,60%"
"10.11.2025","32,36","32,30","32,55","31,93","41,06M","0,56%"
"07.11.2025","32,18","31,22","32,18","30,85","97,15M","3,77%"
"06.11.2025","31,01","30,98","31,28","30,90","43,44M","0,52%"
"05.11.2025","30,85","30,30","30,95","30,21","40,38M","1,98%"
"04.11.2025","30,25","30,00","30,26","29,91","35,04M","0,50%"
"03.11.2025","30,10","29,88","30,47","29,80","54,98M","1,18%"
"31.10.2025","29,75","30,00","30,09","29,55","29,42M","-0,47%"
"30.10.2025","29,89","29,92","30,16","29,76","22,52M","-0,43%"
"29.10.2025","30,02","30,09","30,16","29,80","24,83M","0,10%"
"28.10.2025","29,99","29,90","30,35","29,76","25,00M","-0,03%"
"27.10.2025","30,00","30,16","30,16","29,69","24,74M","0,54%"
"24.10.2025","29,84","30,30","30,45","29,81","24,27M","-1,16%"
