"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.03.2026","90,69","92,50","95,02","81,26","836,96K","-8,36%"
"09.03.2026","98,96","99,75","119,50","83,66","1,22M","6,76%"
"06.03.2026","92,69","83,54","94,64","83,16","1,01M","8,52%"
"05.03.2026","85,41","82,24","86,28","81,50","891,29K","4,93%"
"04.03.2026","81,40","82,00","84,48","80,30","791,43K","0,00%"
"03.03.2026","81,40","79,00","85,12","78,38","1,21M","4,71%"
"02.03.2026","77,74","81,57","82,37","75,75","1,14M","7,26%"
"27.02.2026","72,48","70,50","73,00","70,33","26,65K","2,45%"
"26.02.2026","70,75","71,10","72,61","69,16","143,90K","-0,14%"
"25.02.2026","70,85","71,25","71,76","70,44","138,96K","0,11%"
"24.02.2026","70,77","71,49","72,24","70,71","260,15K","-1,01%"
"23.02.2026","71,49","71,10","72,50","70,69","213,26K","0,27%"
"20.02.2026","71,30","71,36","71,86","70,66","386,67K","0,04%"
"19.02.2026","71,27","69,75","71,70","69,61","513,70K","2,15%"
"18.02.2026","69,77","66,86","70,09","66,80","365,85K","4,34%"
"17.02.2026","66,87","67,88","68,38","66,21","318,80K","-1,62%"
"16.02.2026","67,97","67,42","68,08","66,68","102,03K","0,32%"
"13.02.2026","67,75","67,58","68,05","66,89","265,54K","0,34%"
"12.02.2026","67,52","69,68","69,85","67,09","326,51K","-2,71%"
"11.02.2026","69,40","69,10","70,72","69,00","333,60K","0,87%"
"10.02.2026","68,80","69,04","69,49","68,44","288,66K","-0,35%"
"09.02.2026","69,04","67,25","69,45","67,02","281,05K","1,45%"
"06.02.2026","68,05","67,20","68,83","66,56","468,64K","0,74%"
"05.02.2026","67,55","68,52","68,95","66,89","353,26K","-2,75%"
"04.02.2026","69,46","67,89","69,76","66,98","519,70K","3,16%"
"03.02.2026","67,33","66,06","68,27","65,19","475,72K","1,55%"
"02.02.2026","66,30","68,60","68,83","65,45","531,53K","-6,21%"
"30.01.2026","70,69","70,65","70,92","69,15","24,40K","-0,03%"
"29.01.2026","70,71","68,69","71,89","68,61","119,22K","3,38%"
"28.01.2026","68,40","67,60","68,77","67,12","167,81K","1,23%"
"27.01.2026","67,57","65,75","67,78","65,00","274,29K","3,02%"
"26.01.2026","65,59","66,03","66,54","65,29","254,10K","0,80%"
"23.01.2026","65,07","63,64","65,45","63,55","393,82K","2,73%"
"22.01.2026","63,34","64,45","64,67","62,90","342,17K","-1,84%"
"21.01.2026","64,53","63,55","64,74","63,05","406,07K","0,53%"
"20.01.2026","64,19","63,42","64,35","62,69","498,16K","1,53%"
"19.01.2026","63,22","63,04","63,64","62,59","184,32K","-1,42%"
"16.01.2026","64,13","63,74","64,77","63,44","315,23K","0,58%"
"15.01.2026","63,76","65,35","65,36","63,27","490,58K","-4,15%"
"14.01.2026","66,52","65,44","66,82","63,45","693,30K","1,60%"
"13.01.2026","65,47","64,11","65,92","63,84","590,14K","2,51%"
"12.01.2026","63,87","63,34","64,34","62,76","409,02K","0,84%"
"09.01.2026","63,34","62,60","63,92","61,83","458,48K","2,18%"
"08.01.2026","61,99","60,29","63,02","59,96","483,62K","3,39%"
"07.01.2026","59,96","60,10","60,93","59,81","467,38K","-1,22%"
"06.01.2026","60,70","61,70","62,33","60,40","389,05K","-1,72%"
"05.01.2026","61,76","60,99","61,89","59,75","392,72K","1,66%"
"02.01.2026","60,75","60,86","61,38","60,01","265,48K","-0,16%"
