T,H,year,month,day,date
26.859999999999999,66.75,2005,1,1,2005-01-01
27.100000000000001,70.75,2005,1,2,2005-01-02
27.239999999999998,68.75,2005,1,3,2005-01-03
26.34,77,2005,1,4,2005-01-04
26.920000000000002,68.75,2005,1,5,2005-01-05
26.539999999999999,65,2005,1,6,2005-01-06
26.100000000000001,80,2005,1,7,2005-01-07
27.300000000000001,74.25,2005,1,8,2005-01-08
28.059999999999999,70.75,2005,1,9,2005-01-09
27.899999999999999,66,2005,1,10,2005-01-10
27.18,71.5,2005,1,11,2005-01-11
27.420000000000002,70.75,2005,1,12,2005-01-12
28.039999999999999,70.5,2005,1,13,2005-01-13
27.48,74.75,2005,1,14,2005-01-14
28,74.25,2005,1,15,2005-01-15
27.82,71.25,2005,1,16,2005-01-16
27.960000000000001,68.5,2005,1,17,2005-01-17
27.859999999999999,74.25,2005,1,18,2005-01-18
28.16,69.25,2005,1,19,2005-01-19
27.18,72,2005,1,20,2005-01-20
28.059999999999999,73.25,2005,1,21,2005-01-21
28.379999999999999,75.25,2005,1,22,2005-01-22
27.760000000000002,69.25,2005,1,23,2005-01-23
28.219999999999999,71.25,2005,1,24,2005-01-24
28.620000000000001,72,2005,1,25,2005-01-25
28.780000000000001,73.75,2005,1,26,2005-01-26
28.52,69.25,2005,1,27,2005-01-27
27.98,63.75,2005,1,28,2005-01-28
27.780000000000001,66.25,2005,1,29,2005-01-29
27.52,64.5,2005,1,30,2005-01-30
27.5,66,2005,1,31,2005-01-31
27.760000000000002,70.5,2005,2,1,2005-02-01
28.760000000000002,76.5,2005,2,2,2005-02-02
28.16,74.25,2005,2,3,2005-02-03
27.879999999999999,70.25,2005,2,4,2005-02-04
28.02,72,2005,2,5,2005-02-05
27.5,68,2005,2,6,2005-02-06
26.859999999999999,71.75,2005,2,7,2005-02-07
26.199999999999999,78,2005,2,8,2005-02-08
24.98,86.5,2005,2,9,2005-02-09
26.800000000000001,78.75,2005,2,10,2005-02-10
26.760000000000002,80.5,2005,2,11,2005-02-11
27.620000000000001,75.5,2005,2,12,2005-02-12
27.68,73.5,2005,2,13,2005-02-13
28.219999999999999,74.5,2005,2,14,2005-02-14
28,75.5,2005,2,15,2005-02-15
25.620000000000001,89.5,2005,2,16,2005-02-16
28.16,73.75,2005,2,17,2005-02-17
28.460000000000001,72,2005,2,18,2005-02-18
28.460000000000001,70.5,2005,2,19,2005-02-19
28.359999999999999,67.5,2005,2,20,2005-02-20
27.48,68.5,2005,2,21,2005-02-21
27.66,76.25,2005,2,22,2005-02-22
28.359999999999999,76.5,2005,2,23,2005-02-23
28.559999999999999,72.75,2005,2,24,2005-02-24
28.879999999999999,76.75,2005,2,25,2005-02-25
